State,Used Car Price,Doc Fee,Registration Fee,Sales Tax,Insurance,Total Fees,Total Cost,Used Car Price Rank,Sales Tax Rank,Doc Fee Rank,Registration Fee Rank,Insurance Rank,Weighted Score,Overall Rank
Alabama,34206.0,489.0,24.25,0.02,2207.0,3404.37,37610.37,23.0,6.0,34.0,21.0,27.0,19.549999999999997,12.0
Alaska,40462.0,299.0,35.0,0.0,2330.0,2664.0,43126.0,49.0,1.0,15.0,36.0,31.0,26.849999999999998,32.0
Arizona,34413.0,499.0,8.0,0.055999999999999994,2515.0,4949.128,39362.128,24.0,25.0,35.0,1.0,34.0,26.7,31.0
Arkansas,36343.0,129.0,17.0,0.065,2193.0,4701.295,41044.295,44.0,38.0,3.0,8.0,26.0,32.949999999999996,42.0
California,35759.0,85.0,28.0,0.0725,2692.0,5397.5275,41156.5275,40.0,48.0,1.0,28.0,43.0,40.74999999999999,49.0
Colorado,35269.0,699.0,25.8,0.028999999999999998,3200.0,4947.601000000001,40216.601,35.0,7.0,47.0,24.0,45.0,29.650000000000002,39.0
Connecticut,32991.0,599.0,70.0,0.0635,2187.0,4950.9285,37941.9285,8.0,37.0,43.0,48.0,25.0,25.549999999999997,27.0
Delaware,32924.0,475.0,30.0,0.0,2636.0,3141.0,36065.0,6.0,1.0,33.0,29.0,41.0,17.499999999999996,6.0
Florida,34519.0,999.0,35.1,0.06,3950.0,7055.24,41574.24,25.0,27.0,50.0,39.0,50.0,35.050000000000004,45.0
Georgia,36016.0,599.0,20.0,0.07,2610.0,5750.120000000001,41766.12,42.0,44.0,43.0,9.0,38.0,39.8,48.0
Hawaii,32381.0,395.0,88.7,0.04,1652.0,3430.9399999999996,35811.94,4.0,10.0,24.0,49.0,9.0,10.55,2.0
Idaho,37092.0,399.0,37.25,0.06,1425.0,4086.77,41178.77,45.0,27.0,25.0,40.0,2.0,25.450000000000003,26.0
Illinois,35217.0,347.0,48.0,0.0725,2316.0,5264.2325,40481.2325,34.0,48.0,22.0,43.0,30.0,36.849999999999994,46.0
Indiana,32936.0,199.0,12.75,0.07,1639.0,4156.27,37092.270000000004,7.0,44.0,7.0,2.0,6.0,17.55,8.0
Iowa,35750.0,180.0,27.0,0.05,1683.0,3677.5,39427.5,39.0,18.0,6.0,26.0,12.0,22.299999999999997,18.0
Kansas,35323.0,499.0,27.25,0.065,2630.0,5452.245,40775.245,36.0,38.0,35.0,27.0,40.0,37.300000000000004,47.0
Kentucky,34176.0,450.0,14.5,0.06,2558.0,5073.0599999999995,39249.06,22.0,27.0,31.0,3.0,35.0,26.9,33.0
Louisiana,35893.0,425.0,15.0,0.044500000000000005,3626.0,5663.2385,41556.2385,41.0,17.0,28.0,5.0,48.0,33.449999999999996,43.0
Maine,33758.0,499.0,23.0,0.055,1517.0,3895.69,37653.69,16.0,23.0,35.0,14.0,3.0,15.049999999999999,5.0
Maryland,33377.0,499.0,35.0,0.06,2496.0,5032.62,38409.62,12.0,27.0,35.0,36.0,33.0,25.150000000000002,25.0
Massachusetts,33232.0,459.0,30.0,0.0625,1646.0,4212.0,37444.0,10.0,35.0,32.0,29.0,7.0,18.65,10.0
Michigan,33597.0,260.0,58.0,0.06,3375.0,5708.82,39305.82,14.0,27.0,14.0,46.0,46.0,29.1,37.0
Minnesota,33758.0,125.0,35.0,0.0688,2044.0,4526.5504,38284.5504,16.0,43.0,2.0,36.0,23.0,26.5,30.0
Mississippi,34130.0,425.0,23.75,0.05,2061.0,4216.25,38346.25,21.0,18.0,28.0,17.0,24.0,21.15,15.0
Missouri,33596.0,565.0,51.0,0.042300000000000004,2437.0,4474.1108,38070.1108,13.0,16.0,42.0,45.0,32.0,22.65,20.0
Montana,38943.0,299.0,15.25,0.0,2228.0,2542.25,41485.25,48.0,1.0,15.0,7.0,29.0,24.5,24.0
Nebraska,35064.0,299.0,21.5,0.055,1994.0,4243.02,39307.020000000004,32.0,23.0,15.0,12.0,22.0,24.450000000000003,23.0
Nevada,34859.0,499.0,33.0,0.0825,3564.0,6971.8675,41830.8675,29.0,50.0,35.0,35.0,47.0,41.3,50.0
New Hampshire,31833.0,375.0,31.2,0.0,1646.0,2052.2,33885.2,2.0,1.0,23.0,34.0,7.0,5.8500000000000005,1.0
New Jersey,33936.0,695.0,25.0,0.0663,2563.0,5532.9568,39468.9568,19.0,41.0,46.0,23.0,37.0,32.550000000000004,41.0
New Mexico,35189.0,339.0,23.0,0.04,2216.0,3985.56,39174.56,33.0,10.0,21.0,14.0,28.0,23.05,21.0
